Code,Name,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12
194480,데브시스터즈,-9.29,-29.78,-29.78,-29.78,-29.78,11.51,11.51,11.51,11.51
195940,HK이노엔,6.21,7.95,7.95,7.95,7.95,9.83,9.83,9.83,9.83
196170,알테오젠,-101.97,-10.09,-10.09,-10.09,-10.09,24.7,24.7,24.7,24.7
200130,콜마비앤에이치,10.61,5.22,5.22,5.22,5.22,4,4.0,4.0,4.0
204270,제이앤티씨,-27.48,8.82,8.82,8.82,8.82,-16.87,-16.87,-16.87,-16.87
213420,덕산네오룩스,25.4,20.11,20.11,20.11,20.11,24.72,24.72,24.72,24.72
214150,클래시스,48.57,49.76,49.76,49.76,49.76,50.4,50.4,50.4,50.4
214370,케어젠,48.66,50.98,50.98,50.98,50.98,41.47,41.47,41.47,41.47
214450,파마리서치,33.85,35.35,35.35,35.35,35.35,36,36.0,36.0,36.0
215000,골프존,24.08,16.72,16.72,16.72,16.72,15.46,15.46,15.46,15.46
215200,메가스터디교육,16.2,13.63,13.63,13.63,13.63,13.12,13.12,13.12,13.12
218410,RFHIC,0.74,0.27,0.27,0.27,0.27,1.33,1.33,1.33,1.33
222080,씨아이에스,4.9,12.56,12.56,12.56,12.56,11.67,11.67,11.67,11.67
222800,심텍,20.76,-8.46,-8.46,-8.46,-8.46,-3.81,-3.81,-3.81,-3.81
225570,넥슨게임즈,3.89,6.22,6.22,6.22,6.22,15.13,15.13,15.13,15.13
232140,와이씨,12.76,3.36,3.36,3.36,3.36,5.02,5.02,5.02,5.02
237690,에스티팜,7.16,11.76,11.76,11.76,11.76,10.12,10.12,10.12,10.12
240810,원익IPS,9.65,-2.62,-2.62,-2.62,-2.62,1.42,1.42,1.42,1.42
241710,코스메카코리아,2.6,10.44,10.44,10.44,10.44,11.51,11.51,11.51,11.51
247540,에코프로비엠,7.11,2.26,2.26,2.26,2.26,-1.23,-1.23,-1.23,-1.23
253450,스튜디오드래곤,9.34,7.42,7.42,7.42,7.42,6.62,6.62,6.62,6.62
253590,네오셈,16.82,1.86,14.89,2.48,8.48,9.13,-15.65,31.51,14.76
257720,실리콘투,9.61,12.79,13.27,14.99,14.08,19.64,21.47,22.82,15.32
263750,펄어비스,3.36,1.28,-18,2.51,-6.48,0.69,-7.14,-11.62,2.29
267980,매일유업,4.4,2.81,4.8,3.86,4.75,4.39,4.13,3.48,3.57
272290,이녹스첨단소재,7.69,5.45,16.74,15.24,2.46,15.42,23.86,18.3,24.0
277810,레인보우로보틱스,3.79,-766.06,4.27,14.33,-461.51,-14.75,-80.24,-29.42,10.79
278280,천보,14.43,3.48,2.17,1.72,-29.59,-69.52,3.9,2.48,8.05
281740,레이크머티리얼즈,27.03,27.5,27.38,15.11,29.07,15.97,16.46,12.19,18.4
290650,엘앤씨바이오,19.62,14.33,9.78,23.12,-2.54,12.22,10.59,0.94,-3.26
293490,카카오게임즈,3.8,4.55,9.77,12.68,17.53,8.02,0.7,4.74,-2.96
298380,에이비엘바이오,-113.93,57.23,-120.41,-60.61,-127.31,-179.89,-133.65,-185.08,-210.48
310210,보로노이,"-1,327.45",,,,,,,,
317330,덕산테코피아,4.9,-0.43,3.46,-13.72,-18.63,-16.49,-25.0,-23.3,-65.83
319660,피에스케이,0.05,13.46,2.25,27.09,14.66,27.46,23.45,24.68,10.15
323280,태성,-0.75,1.97,1.39,-16.15,-2.54,11.74,18.53,-8.04,15.96
328130,루닛,-347.15,-21.81,-184.46,-368.06,-329.0,-249.05,-163.12,-98.81,-91.57
336570,원텍,39.22,46.85,41.43,36.13,34.75,29.4,24.21,27.32,37.47
348210,넥스틴,38.35,45.15,46.13,36.52,31.2,55.35,2.85,41.45,44.27
348370,엔켐,8.4,10.25,6.44,0.58,-38.67,-15.12,0.55,-5.29,-62.64
352480,씨앤씨인터내셔널,12.11,12.9,18.07,12.53,14.35,13.8,14.72,9.65,0.05
357780,솔브레인,16.91,20.19,15.12,15.24,11.7,21.85,21.16,18.06,16.83
358570,지아이이노베이션,,,"-3,501.05",,-184.9,"-52,933.26",,,
365340,성일하이텍,4.89,14.4,12.51,-12.69,-47.48,-39.98,-52.15,-41.71,-74.9
376300,디어유,31.43,35.11,35.33,37.63,42.4,35.27,36.96,35.76,27.39
383310,에코프로에이치엔,22.24,20.1,19.81,17.52,15.09,14.23,7.68,10.14,9.5
394280,오픈엣지테크놀로지,-905.63,-730.99,-196.38,-393.96,35.37,-286.12,-141.55,-37.39,-428.29
399720,가온칩스,15.27,-5.06,10.22,7.41,11.31,-3.4,0.29,7.73,6.94
403870,HPSP,43.03,59.42,55.51,51.46,39.74,52.91,44.13,52.62,53.67
417200,LS머트리얼즈,11.15,8.27,14.52,8.21,7.94,3.8,5.0,3.18,5.24
420770,기가비스,58,51.67,29.29,20.68,38.44,-14.18,3.84,-7.88,-13.62
000080,하이트진로,2.15,6.41,1.86,6.64,4.81,7.78,10.26,10.24,3.4
000100,유한양행,3.89,5.11,5.51,0.18,1.42,0.13,3.51,7.95,-2.38
000120,CJ대한통운,3.72,3.53,3.79,4.25,4.71,3.74,4.1,4.76,4.88
000150,두산,4.71,7.77,10.31,7.05,5.05,7.8,7.33,2.84,4.02
000210,DL,1.78,5.36,-0.58,0.95,6.15,12.27,9.57,8.54,-1.85
